@outlook.com|com.microsoft
@icloud.com|com.apple
@protonmail.com|com.proton
@zoho.com|com.zoho
@aol.com|com.aol
@gmx.com|com.gmx
@yandex.com|com.yandex
@mail.com|com.mail
@tutanota.com|com.tutanota
@fastmail.com|com.fastmail
@hushmail.com|com.hushmail
@inbox.com|com.inbox
@rediffmail.com|com.rediffmail
@lycos.com|com.lycos
@shortmail.com|com.shortmail
@mail.ru|com.mailru
@rambler.ru|com.rambler
@tiscali.co.uk|com.tiscali
@bluewin.ch|com.bluewin
@virginmedia.com|com.virginmedia
@btinternet.com|com.btinternet
@att.net|com.att
@cox.net|com.cox
@charter.net|com.charter
@earthlink.net|com.earthlink
@optonline.net|com.optonline
@verizon.net|com.verizon
@rogers.com|com.rogers
@shaw.ca|com.shaw
@sympatico.ca|com.sympatico
@bell.net|com.bell
@naver.com|com.naver
@daum.net|com.daum
@qq.com|com.qq
@163.com|com.163
@126.com|com.126
@sina.com|com.sina
@sohu.com|com.sohu
@21cn.com|com.21cn
@tom.com|com.tom
@yeah.net|com.yeah
@vip.qq.com|com.vipqq
@gmx.de|com.gmxde
@freenet.de|com.freenet
@web.de|com.webde
@t-online.de|com.t-online
@arcor.de|com.arcor
@alice.de|com.alice
@o2online.de|com.o2online
@hotmail.com|com.hotmail
@live.com|com.live
@msn.com|com.msn
